cell_type_name,female_n,female_broad_class,male_n,male_cell_type,male_superclass
cLP03,19,,39,LPT114,visual_centrifugal
vDeltaB,27,,31,vDeltaB,cb_intrinsic
FS2,15,,42,FS2,cb_intrinsic
LC33,25,,32,LC33,visual_projection
ORN_DA2,9,sensory neuron,48,ORN_DA2,cb_sensory
Dm13,3,CNS neuron,53,Dm13,ol_intrinsic
ORN_DM5,21,sensory neuron,35,ORN_DM5,cb_sensory
Pm10,2,,54,Pm9,ol_intrinsic
DmDRA1,5,,50,Dm-DRA1,ol_intrinsic
LPTe01,15,,40,LPT100,visual_projection
LT52,21,,34,LT52,visual_projection
ORN_VA3,25,sensory neuron,30,ORN_VA3,cb_sensory
ORN_VL2p,10,sensory neuron,45,ORN_VL2p,cb_sensory
LC29,14,,40,LC29,visual_projection
LC36,22,,32,LC36,visual_projection
ORN_DM4,22,sensory neuron,32,ORN_DM4,cb_sensory
ORN_VC1,25,sensory neuron,29,ORN_VC1,cb_sensory
AN_AVLP_53,23,sensory neuron,30,AN10B047,ascending_neuron
LPi08,7,,46,LPi3b,ol_intrinsic
ORN_VM7d,17,sensory neuron,36,ORN_VM7d,cb_sensory
PFR_a,25,CNS neuron,28,PFR_a,cb_intrinsic
Sm23,5,,48,Cm14,ol_intrinsic
ORN_VM6v,18,sensory neuron,34,ORN_VM6v,cb_sensory
PFNv,32,,20,PFNv,cb_intrinsic
Sm13,5,,47,Cm15,ol_intrinsic
EPG,5,,46,EPG,cb_intrinsic
ORN_VA4,17,sensory neuron,34,ORN_VA4,cb_sensory
ORN_VC5,20,sensory neuron,31,ORN_VC5,cb_sensory
PFNd,10,,40,PFNd,cb_intrinsic
ORN_VM5v,15,sensory neuron,34,ORN_VM5v,cb_sensory
PAM01,5,,44,PAM01,cb_intrinsic
LCe01a,4,,44,LoVP2,visual_projection
LMa2,1,,47,MeLo8,ol_intrinsic
LMt3,9,,39,MeLo14,ol_intrinsic
ORN_VA7l,19,sensory neuron,29,ORN_VA7l,cb_sensory
BM_MaPa,32,sensory neuron,15,BM_MaPa,cb_sensory
Li12,7,,40,Li20,ol_intrinsic
LC14b,3,,43,LC14b,ol_intrinsic
ORN_DC1,14,sensory neuron,32,ORN_DC1,cb_sensory
ORN_VA7m,22,sensory neuron,24,ORN_VA7m,cb_sensory
Sm21,2,,44,Cm11c,ol_intrinsic
FS4B,16,,29,FS4B,cb_intrinsic
JO-A,21,sensory neuron,24,JO-A-unclear,cb_sensory
LPi06,11,,34,LPi4a,ol_intrinsic
Li15,4,CNS neuron,41,Li15,ol_intrinsic
Li16,7,,38,Li26,ol_intrinsic
ORN_DL5,2,sensory neuron,43,ORN_DL5,cb_sensory
ORN_VC2,13,sensory neuron,32,ORN_VC2,cb_sensory
ORN_VC3,11,sensory neuron,34,ORN_VC3,cb_sensory
ORN_VM1,12,sensory neuron,33,ORN_VM1,cb_sensory
ORN_VM7v,20,sensory neuron,25,ORN_VM7v,cb_sensory
MeTu3a,2,,42,MeTu3a,visual_projection
BM_Vib,21,sensory neuron,22,BM_Vib,cb_sensory
Delta7,1,,42,Delta7,cb_intrinsic
MTe04,12,,31,MeVP12,visual_projection
SLP405,7,,36,SLP405_a,cb_intrinsic
FC2B,15,,27,FC2B,cb_intrinsic
vDeltaC,15,,27,vDeltaC,cb_intrinsic
MeTu4d,1,,40,MeTu4d,visual_projection
ORN_DC3,6,sensory neuron,35,ORN_DC3,cb_sensory
Sm14,3,,38,Cm16,ol_intrinsic
WED057,20,,21,WED057,cb_intrinsic
LCe05,20,,20,LoVP7,visual_projection
ORN_VC4,2,sensory neuron,38,ORN_VC4,cb_sensory
LT51,17,,22,LT51,visual_projection
ORN_DA3,5,sensory neuron,34,ORN_DA3,cb_sensory
ORN_DA4m,4,sensory neuron,35,ORN_DA4m,cb_sensory
ORN_DP1l,6,sensory neuron,33,ORN_DP1l,cb_sensory
vDeltaE,21,,18,vDeltaE,cb_intrinsic
HRN_VP4,10,sensory neuron,28,HRN_VP4,cb_sensory
LPi01,5,,33,LPi14,ol_intrinsic
MeTu4b,6,,32,MeTu4b,visual_projection
ORN_D,10,sensory neuron,28,ORN_D,cb_sensory
ORN_DP1m,7,sensory neuron,31,ORN_DP1m,cb_sensory
PAM04,6,,32,PAM04,cb_intrinsic
hDeltaJ,7,,31,hDeltaJ,cb_intrinsic
AN_AVLP_51,16,sensory neuron,21,AN10B045,ascending_neuron
FS4C,9,,28,FS4C,cb_intrinsic
LT57,16,CNS neuron,21,LoVP14,visual_projection
MTe05,4,,33,MeVP14,visual_projection
CB1078,10,CNS neuron,26,SAD057,cb_intrinsic
IbSpsP,5,,31,IbSpsP,cb_intrinsic
hDeltaK,5,,31,hDeltaK,cb_intrinsic
LC45,12,,23,LoVP10,visual_projection
ORN_DA4l,2,sensory neuron,33,ORN_DA4l,cb_sensory
ORN_DL2v,12,sensory neuron,23,ORN_DL2v,cb_sensory
ORN_VM6l,21,sensory neuron,14,ORN_VM6l,cb_sensory
ORN_VM6m,10,sensory neuron,25,ORN_VM6m,cb_sensory
PAM06,7,,28,PAM06,cb_intrinsic
JO-CM,4,sensory neuron,30,JO-CM,cb_sensory
Li14,1,,33,Tm23,ol_intrinsic
TuBu03,11,,23,TuBu03,cb_intrinsic
vDeltaD,13,,21,vDeltaD,cb_intrinsic
AN_GNG_172,25,sensory neuron,8,AN07B085,ascending_neuron
CB1876,8,,25,CB1876,cb_intrinsic
ER3d_b,13,,20,ER3d_b,cb_intrinsic
PFR_b,17,,16,PFR_b,cb_intrinsic
PLP115_b,11,,22,PLP115_b,cb_intrinsic
lLN1_bc,3,,30,lLN1_bc,cb_intrinsic
FR1,14,,18,FR1,cb_intrinsic
LC14a1,2,,30,LC14a-1,ol_intrinsic
Li07,5,,27,Li35,ol_intrinsic
MeTu2b,1,,31,MeTu2b,visual_projection
ORN_DC2,10,sensory neuron,22,ORN_DC2,cb_sensory
ORN_DC4,9,sensory neuron,23,ORN_DC4,cb_sensory
Sm18,6,,26,Cm20,ol_intrinsic
TuBu07,11,,21,TuBu07,cb_intrinsic
ER4d,5,,26,ER4d,cb_intrinsic
JO-CL,12,sensory neuron,19,JO-CL,cb_sensory
LC37,16,,15,LC37,visual_projection
PEN_b(PEN2),9,,22,PEN_b(PEN2),cb_intrinsic
AN_AVLP_GNG_23,19,,11,AN05B062,ascending_neuron
MeMe_e02,11,,19,MeVPMe5,ol_intrinsic
Pm11,2,,28,Pm7,ol_intrinsic
Sm43,2,,28,Cm18,ol_intrinsic
TuBu08,9,,21,TuBu08,cb_intrinsic
CB2357,15,,14,CRE054,cb_intrinsic
DNg07,13,CNS neuron,16,DNg07,descending_neuron
DNg12_e,23,CNS neuron,6,DNg12_e,descending_neuron
LTe09,7,,22,LoVP8,visual_projection
PFL3,5,,24,PFL3,cb_intrinsic
SMP568,8,,21,SMP568_a,cb_intrinsic
EL,10,,18,EL,cb_intrinsic
PAM05,8,,20,PAM05,cb_intrinsic
PAM12,6,,22,PAM12,cb_intrinsic
PEN_a(PEN1),8,,20,PEN_a(PEN1),cb_intrinsic
Sm30,3,,25,Cm21,ol_intrinsic
WED033,14,,14,WED033,cb_intrinsic
CB1079,13,,14,CRE055,cb_intrinsic
MTe06,3,,24,MeVP15,visual_projection
MTe07,13,sensory neuron,14,MeVPLo2,visual_projection
LC46,14,CNS neuron,12,LC46b,visual_projection
SIP076,8,,18,SIP076,cb_intrinsic
cL01,4,,22,LoVC25,visual_centrifugal
AN_IPS_GNG_6,12,,13,AN07B050,ascending_neuron
CB1072,11,,14,CB1072,cb_intrinsic
DNge071,9,CNS neuron,16,DNge071,descending_neuron
aMe4,6,,19,aMe4,visual_centrifugal
hDeltaB,6,,19,hDeltaB,cb_intrinsic
CB1322,14,,10,CB1322,cb_intrinsic
DNg10,12,CNS neuron,12,DNg10,descending_neuron
LC43,10,,14,LC43,visual_projection
LT70,13,,11,LT70,visual_centrifugal
MTe53,7,,17,MeVP5,visual_projection
ORN_VA5,8,sensory neuron,16,ORN_VA5,cb_sensory
PFGs,6,,18,PFGs,cb_intrinsic
vDeltaF,6,,18,vDeltaF,cb_intrinsic
CB0943,8,,15,CB0943,cb_intrinsic
CB1008,3,,20,CB1008,cb_intrinsic
CB1094,13,,10,CB1094,cb_intrinsic
CB2353,11,,12,GNG610,cb_intrinsic
DNge019,9,CNS neuron,14,DNge019,descending_neuron
DNge091,5,CNS neuron,18,DNge091,descending_neuron
FB5V,6,,17,FB5V_a,cb_intrinsic
FC2A,5,,18,FC2A,cb_intrinsic
FR2,5,,18,FR2,cb_intrinsic
HRN_VP1d,5,sensory neuron,18,HRN_VP1d,cb_sensory
LC41,10,,13,LC41,visual_projection
LHPV5b1,3,,20,LHPV5b1,cb_intrinsic
LHPV5b2,5,,18,LHPV5b2,cb_intrinsic
LPTe02,12,,11,LPT101,visual_projection
hDeltaC,3,,20,hDeltaC,cb_intrinsic
AVLP454_a,12,,10,AVLP454_a1,cb_intrinsic
CB0986,9,,13,CB0986,cb_intrinsic
