cell_type_name,female_n,female_broad_class,male_n,male_cell_type,male_superclass,category
LTe29,0,,2,LoVP99,visual_projection,male_specific
LTe42a,0,,2,LoVP90a,visual_projection,male_specific
LTe42b,0,,2,LoVP90b,visual_projection,male_specific
LTe42c,0,,2,LoVP90c,visual_projection,male_specific
LTe46,0,,2,LoVP40,visual_projection,male_specific
LTe60,0,,2,LoVP45,visual_projection,male_specific
LTe71,0,,2,SLP250,visual_projection,male_specific
LTe73,0,,2,LoVP66,visual_projection,male_specific
Li29,0,,2,Li31,ol_intrinsic,male_specific
Li31,0,,2,Li38,ol_intrinsic,male_specific
Li32,0,,2,Li32,ol_intrinsic,male_specific
MBON02,0,,2,MBON02,cb_intrinsic,male_specific
MBON06,0,,2,MBON06,cb_intrinsic,male_specific
MBON13,0,,2,MBON13,cb_intrinsic,male_specific
MBON16,0,,2,MBON16,cb_intrinsic,male_specific
MBON17-like,0,,2,MBON17-like,cb_intrinsic,male_specific
MBON21,0,,2,MBON21,cb_intrinsic,male_specific
MBON27,0,,2,MBON27,cb_intrinsic,male_specific
MBON28,0,,2,MBON28,cb_intrinsic,male_specific
MBON31,0,,2,MBON31,cb_intrinsic,male_specific
MBON33,0,,2,MBON33,cb_intrinsic,male_specific
MBON35,0,,2,MBON35,cb_intrinsic,male_specific
MTe28,0,,2,MeVP29,visual_projection,male_specific
MTe48,0,,2,MeVP63,visual_projection,male_specific
MZ_lv2PN,0,,2,MZ_lv2PN,cb_intrinsic,male_specific
M_adPNm4,0,,2,M_adPNm4,cb_intrinsic,male_specific
"M_ilPNm90,M_ilPN8t91",0,,2,M_ilPNm90,cb_intrinsic,male_specific
M_imPNl92,0,,2,M_imPNl92,cb_intrinsic,male_specific
M_l2PN10t19a,0,,2,M_l2PN10t19,cb_intrinsic,male_specific
M_l2PN10t19b,0,,2,M_l2PN10t19,cb_intrinsic,male_specific
M_l2PNl20,0,,2,M_l2PNl20,cb_intrinsic,male_specific
M_l2PNl21,0,,2,M_l2PNl21,cb_intrinsic,male_specific
M_l2PNm14,0,,2,M_l2PNm14,cb_intrinsic,male_specific
M_l2PNm15,0,,2,M_l2PNm15,cb_intrinsic,male_specific
M_lPNm11C,0,,2,M_lPNm11C,cb_intrinsic,male_specific
M_lvPNm28,0,,2,M_lvPNm28,cb_intrinsic,male_specific
M_lvPNm39,0,,2,M_lvPNm39,cb_intrinsic,male_specific
M_lvPNm44,0,,2,M_lvPNm44,cb_intrinsic,male_specific
M_smPNm1,0,,2,M_smPNm1,cb_intrinsic,male_specific
M_spPN4t9,0,,2,M_spPN4t9,cb_intrinsic,male_specific
"M_vPNml51,CB3597",0,,2,M_vPNml51,cb_intrinsic,male_specific
M_vPNml52,0,,2,M_vPNml52,cb_intrinsic,male_specific
M_vPNml55,0,,2,M_vPNml55,cb_intrinsic,male_specific
M_vPNml57,0,,2,M_vPNml57,cb_intrinsic,male_specific
M_vPNml79,0,,2,M_vPNml79,cb_intrinsic,male_specific
MeLp2,0,,2,MeVPLp2,ol_intrinsic,male_specific
MeMe_e09,0,,2,MeVPMe7,ol_intrinsic,male_specific
Nod3,0,,2,Nod3,visual_projection,male_specific
OA-VUMa5,0,,2,OA-VUMa5,cb_intrinsic,male_specific
OCC01a,0,,2,OCG06,visual_centrifugal,male_specific
OCC01b,0,,2,OCC01b,visual_centrifugal,male_specific
OCG01a,0,,2,OCG01a,visual_projection,male_specific
OCG01b,0,,2,OCG01b,visual_projection,male_specific
OCG01e,0,,2,OCG01e,visual_projection,male_specific
OCG01f,0,,2,OCG01f,visual_projection,male_specific
OCG02b,0,,2,OCG02b,visual_projection,male_specific
PAL01,0,,2,PAL01,cb_intrinsic,male_specific
PLP010,0,,2,PLP010,cb_intrinsic,male_specific
PLP012,0,,2,PLP012,cb_intrinsic,male_specific
PLP036,0,,2,PLP036,cb_intrinsic,male_specific
PLP059a,0,,2,PLP059,cb_intrinsic,male_specific
PLP060,0,,2,PLP060,cb_intrinsic,male_specific
PLP080,0,,2,PLP080,cb_intrinsic,male_specific
PLP086a,0,,2,PLP086,cb_intrinsic,male_specific
PLP093,0,,2,PLP093,cb_intrinsic,male_specific
PLP114,0,,2,PLP114,cb_intrinsic,male_specific
PLP121,0,,2,PLP121,cb_intrinsic,male_specific
PLP131,0,,2,PLP131,cb_intrinsic,male_specific
PLP141,0,,2,PLP141,cb_intrinsic,male_specific
PLP143,0,,2,PLP143,cb_intrinsic,male_specific
PLP144,0,,2,PLP144,cb_intrinsic,male_specific
PLP163,0,,2,PLP163,cb_intrinsic,male_specific
PLP169,0,,2,PLP169,cb_intrinsic,male_specific
PLP182c,0,,2,PLP182,cb_intrinsic,male_specific
PLP182d,0,,2,PLP182,cb_intrinsic,male_specific
PLP184,0,,2,PLP184,cb_intrinsic,male_specific
PLP208,0,,2,PLP208,cb_intrinsic,male_specific
PLP209,0,,2,PLP209,cb_intrinsic,male_specific
PLP213,0,,2,PLP213,cb_intrinsic,male_specific
PLP222,0,,2,PLP222,cb_intrinsic,male_specific
PLP228,0,,2,PLP228,cb_intrinsic,male_specific
PLP245,0,,2,PLP245,cb_intrinsic,male_specific
PLP252,0,,2,PLP252,cb_intrinsic,male_specific
PPL102,0,,2,PPL102,cb_intrinsic,male_specific
PPL104,0,,2,PPL104,cb_intrinsic,male_specific
PPL105,0,,2,PPL105,cb_intrinsic,male_specific
PPL108,0,,2,PPL108,cb_intrinsic,male_specific
PPL202,0,,2,PPL202,cb_intrinsic,male_specific
PPL204,0,,2,PPL204,cb_intrinsic,male_specific
PPM1205,0,,2,PPM1205,cb_intrinsic,male_specific
PS001,0,,2,PS001,cb_intrinsic,male_specific
PS008_a3,0,,2,PS008_a3,cb_intrinsic,male_specific
PS011,0,,2,PS011,cb_intrinsic,male_specific
PS018a,0,,2,PS018_a,cb_intrinsic,male_specific
PS018b,0,,2,PS018_b,cb_intrinsic,male_specific
PS029,0,,2,PS029,cb_intrinsic,male_specific
PS047b,0,,2,PS047_b,cb_intrinsic,male_specific
PS048a,0,,2,PS048_b,cb_intrinsic,male_specific
PS049,0,,2,PS049,cb_intrinsic,male_specific
PS053,0,,2,PS053,cb_intrinsic,male_specific
PS065,0,,2,PS065,cb_intrinsic,male_specific
"PS081,PS085",0,,2,PS081,cb_intrinsic,male_specific
"PS082,PS084",0,,2,PS082,cb_intrinsic,male_specific
PS083_a,0,,2,PS083_a,cb_intrinsic,male_specific
PS083_c,0,,2,PS083_c,cb_intrinsic,male_specific
PS087e,0,,2,PS087,cb_intrinsic,male_specific
PS089,0,,2,PS089,cb_intrinsic,male_specific
PS094a,0,,2,PS094,cb_intrinsic,male_specific
PS095b,0,,2,PS095,cb_intrinsic,male_specific
PS096a,0,,2,PS096,cb_intrinsic,male_specific
PS096b,0,,2,PS096,cb_intrinsic,male_specific
PS096d,0,,2,PS096,cb_intrinsic,male_specific
PS096e,0,,2,PS096,cb_intrinsic,male_specific
PS097b,0,,2,PS097,cb_intrinsic,male_specific
PS098,0,,2,PS098,cb_intrinsic,male_specific
PS100,0,,2,PS100,cb_intrinsic,male_specific
PS108,0,,2,PS108,cb_intrinsic,male_specific
PS112,0,,2,PS112,cb_intrinsic,male_specific
PS126,0,,2,PS126,cb_intrinsic,male_specific
PS127,0,,2,PS127,cb_intrinsic,male_specific
PS156,0,,2,PS156,cb_intrinsic,male_specific
PS159,0,,2,PS159,cb_intrinsic,male_specific
PS176,0,,2,PS176,cb_intrinsic,male_specific
PS180,0,,2,PS180,cb_intrinsic,male_specific
PS181,0,,2,PS181,cb_intrinsic,male_specific
PS193a,0,,2,PS193,cb_intrinsic,male_specific
PS202,0,,2,PS202,cb_intrinsic,male_specific
PS203a,0,,2,PS203,cb_intrinsic,male_specific
PS203b,0,,2,PS203,cb_intrinsic,male_specific
PS208a,0,,2,PS208,cb_intrinsic,male_specific
PS209a,0,,2,PS209,cb_intrinsic,male_specific
PS209d,0,,2,PS209,cb_intrinsic,male_specific
PS213,0,,2,PS213,cb_intrinsic,male_specific
PS217,0,,2,PS217,cb_intrinsic,male_specific
PS276,0,,2,PS276,cb_intrinsic,male_specific
PS280,0,,2,PS280,cb_intrinsic,male_specific
PVLP001,0,,2,PVLP001,cb_intrinsic,male_specific
PVLP002,0,,2,PVLP002,cb_intrinsic,male_specific
PVLP013,0,,2,PVLP013,cb_intrinsic,male_specific
PVLP014,0,,2,PVLP014,cb_intrinsic,male_specific
PVLP015,0,,2,PVLP015,cb_intrinsic,male_specific
PVLP017,0,,2,PVLP017,cb_intrinsic,male_specific
PVLP018,0,,2,PVLP018,cb_intrinsic,male_specific
PVLP020,0,,2,PVLP020,cb_intrinsic,male_specific
PVLP026,0,,2,PVLP026,cb_intrinsic,male_specific
PVLP027,0,,2,PVLP027,cb_intrinsic,male_specific
PVLP061,0,,2,PVLP061,cb_intrinsic,male_specific
PVLP065,0,,2,PVLP065,cb_intrinsic,male_specific
PVLP069,0,,2,PVLP069,cb_intrinsic,male_specific
PVLP090,0,,2,PVLP090,cb_intrinsic,male_specific
PVLP106,0,,2,PVLP106,cb_intrinsic,male_specific
PVLP112a,0,,2,PVLP112,cb_intrinsic,male_specific
PVLP114,0,,2,PVLP114,cb_intrinsic,male_specific
PVLP120,0,,2,PVLP120,cb_intrinsic,male_specific
PVLP121,0,,2,PVLP121,cb_intrinsic,male_specific
PVLP130,0,,2,PVLP130,cb_intrinsic,male_specific
PVLP138,0,,2,PVLP138,cb_intrinsic,male_specific
PVLP140,0,,2,PVLP140,cb_intrinsic,male_specific
PVLP141,0,,2,PVLP141,cb_intrinsic,male_specific
PhG10,0,,2,PhG10,cb_sensory,male_specific
PhG11,0,,2,PhG11,cb_sensory,male_specific
PhG12,0,,2,PhG12,cb_sensory,male_specific
PhG13,0,,2,PhG13,cb_sensory,male_specific
PhG14,0,,2,PhG14,cb_sensory,male_specific
PhG15,0,,2,PhG15,cb_sensory,male_specific
PhG16,0,,2,PhG16,cb_sensory,male_specific
PhG1a,0,,2,PhG1a,cb_sensory,male_specific
PhG1b,0,,2,PhG1b,cb_sensory,male_specific
PhG3,0,,2,PhG3,cb_sensory,male_specific
PhG5,0,,2,PhG5,cb_sensory,male_specific
PhG6,0,,2,PhG6,cb_sensory,male_specific
Pm13,0,,2,Pm13,ol_intrinsic,male_specific
SAD007a,0,,2,SAD007,cb_intrinsic,male_specific
SAD007c,0,,2,SAD007,cb_intrinsic,male_specific
SAD007d,0,,2,SAD006,cb_intrinsic,male_specific
SAD008a,0,,2,SAD008,cb_intrinsic,male_specific
SAD008b,0,,2,SAD008,cb_intrinsic,male_specific
SAD008c,0,,2,SAD008,cb_intrinsic,male_specific
"SAD011,SAD019",0,,2,SAD011,cb_intrinsic,male_specific
SAD013,0,,2,SAD013,cb_intrinsic,male_specific
SAD034,0,,2,SAD034,cb_intrinsic,male_specific
SAD035,0,,2,SAD035,cb_intrinsic,male_specific
SAD049,0,,2,SAD049,cb_intrinsic,male_specific
SAD076,0,,2,SAD076,cb_intrinsic,male_specific
SAD084,0,,2,SAD084,cb_intrinsic,male_specific
SAD085,0,,2,SAD085,cb_intrinsic,male_specific
SAD093,0,,2,SAD093,cb_intrinsic,male_specific
SA_VTV_DProN_1,0,,2,AN05B096,ascending_neuron,male_specific
SIP017,0,,2,SIP017,cb_intrinsic,male_specific
SIP019,0,,2,SIP019,cb_intrinsic,male_specific
SIP024a,0,,2,SIP024,cb_intrinsic,male_specific
SIP029,0,,2,SIP029,cb_intrinsic,male_specific
SIP046,0,,2,SIP046,cb_intrinsic,male_specific
SIP047a,0,,2,SIP047,cb_intrinsic,male_specific
SIP048,0,,2,SIP048,cb_intrinsic,male_specific
SIP057,0,,2,SIP057,cb_intrinsic,male_specific
SIP067,0,,2,SIP067,cb_intrinsic,male_specific
SIP076d,0,,2,SIP076,cb_intrinsic,male_specific
SIP088,0,,2,SIP088,cb_intrinsic,male_specific
SLP003,0,,2,SLP003,cb_intrinsic,male_specific
SLP006,0,,2,SLP006,cb_intrinsic,male_specific
SLP011,0,,2,SLP011,cb_intrinsic,male_specific
SLP012a,0,,2,SLP012,cb_intrinsic,male_specific
SLP017,0,,2,SLP017,cb_intrinsic,male_specific
SLP025a,0,,2,SLP025,cb_intrinsic,male_specific
SLP031,0,,2,SLP031,cb_intrinsic,male_specific
SLP048,0,,2,SLP048,cb_intrinsic,male_specific
SLP071,0,,2,SLP071,cb_intrinsic,male_specific
SLP072,0,,2,SLP072,cb_intrinsic,male_specific
SLP074,0,,2,SLP074,cb_intrinsic,male_specific
SLP075,0,,2,SLP075,cb_intrinsic,male_specific
SLP080,0,,2,SLP080,cb_intrinsic,male_specific
SLP131,0,,2,SLP131,cb_intrinsic,male_specific
SLP132,0,,2,SLP132,cb_intrinsic,male_specific
SLP136,0,,2,SLP136,cb_intrinsic,male_specific
SLP153,0,,2,SLP153,cb_intrinsic,male_specific
SLP155,0,,2,SLP155,cb_intrinsic,male_specific
SLP202,0,,2,SLP202,cb_intrinsic,male_specific
SLP209,0,,2,SLP209,cb_intrinsic,male_specific
SLP212b,0,,2,SLP212_b,cb_intrinsic,male_specific
SLP212c,0,,2,SLP212_c,cb_intrinsic,male_specific
SLP215,0,,2,SLP215,cb_intrinsic,male_specific
SLP216,0,,2,SLP216,cb_intrinsic,male_specific
SLP227a,0,,2,SLP227,cb_intrinsic,male_specific
SLP227b,0,,2,SLP227,cb_intrinsic,male_specific
SLP231,0,,2,SLP231,cb_intrinsic,male_specific
SLP235,0,,2,SLP235,cb_intrinsic,male_specific
SLP239,0,,2,SLP239,cb_intrinsic,male_specific
SLP248,0,,2,SLP248,cb_intrinsic,male_specific
SLP257,0,,2,SLP257,cb_intrinsic,male_specific
SLP265a,0,,2,SLP265,cb_intrinsic,male_specific
SLP281,0,,2,SLP281,cb_intrinsic,male_specific
SLP302a,0,,2,SLP302,cb_intrinsic,male_specific
SLP302b,0,,2,SLP302,cb_intrinsic,male_specific
SLP304b,0,,2,SLP304,cb_intrinsic,male_specific
SLP308b,0,,2,SLP308,cb_intrinsic,male_specific
SLP345a,0,,2,SLP345,cb_intrinsic,male_specific
SLP380,0,,2,SLP380,cb_intrinsic,male_specific
SLP381,0,,2,SLP381,cb_intrinsic,male_specific
SLP382,0,,2,SLP382,cb_intrinsic,male_specific
SLP383,0,,2,SLP383,cb_intrinsic,male_specific
SLP388,0,,2,SLP388,cb_intrinsic,male_specific
SLP402_b,0,,2,SLP402_b,cb_intrinsic,male_specific
SLP406,0,,2,SLP406,cb_intrinsic,male_specific
SLP412_a,0,,2,SLP412_a,cb_intrinsic,male_specific
SLP412_b,0,,2,SLP412_b,cb_intrinsic,male_specific
SLP433,0,,2,SLP433,cb_intrinsic,male_specific
SLP437,0,,2,SLP437,cb_intrinsic,male_specific
SLP447,0,,2,SLP447,cb_intrinsic,male_specific
SLP458,0,,2,SLP458,cb_intrinsic,male_specific
SLP465a,0,,2,SLP465,cb_intrinsic,male_specific
SLPpm3_H01,0,,2,SMP551,cb_intrinsic,male_specific
SLPpm3_H02,0,,2,SLP440,cb_intrinsic,male_specific
SLPpm3_S01,0,,2,SLP441,cb_intrinsic,male_specific
SMP011b,0,,2,SMP011_b,cb_intrinsic,male_specific
SMP015,0,,2,SMP015,cb_intrinsic,male_specific
SMP027,0,,2,SMP027,cb_intrinsic,male_specific
SMP035,0,,2,SMP035,cb_intrinsic,male_specific
SMP044,0,,2,SMP044,cb_intrinsic,male_specific
SMP047,0,,2,SMP047,cb_intrinsic,male_specific
SMP051,0,,2,SMP051,cb_intrinsic,male_specific
SMP054,0,,2,SMP054,cb_intrinsic,male_specific
SMP077,0,,2,SMP077,cb_intrinsic,male_specific
SMP080,0,,2,SMP080,cb_intrinsic,male_specific
SMP108,0,,2,SMP108,cb_intrinsic,male_specific
SMP109,0,,2,SMP109,cb_intrinsic,male_specific
SMP115,0,,2,SMP115,cb_intrinsic,male_specific
SMP116,0,,2,SMP116,cb_intrinsic,male_specific
SMP138,0,,2,SMP138,cb_intrinsic,male_specific
SMP153b,0,,2,SMP153_b,cb_intrinsic,male_specific
SMP158,0,,2,SMP158,cb_intrinsic,male_specific
SMP162c,0,,2,SMP162,cb_intrinsic,male_specific
SMP165,0,,2,SMP165,cb_intrinsic,male_specific
SMP175,0,,2,SMP175,cb_intrinsic,male_specific
SMP176,0,,2,SMP176,cb_intrinsic,male_specific
SMP185,0,,2,SMP185,cb_intrinsic,male_specific
SMP189,0,,2,SMP189,cb_intrinsic,male_specific
SMP198,0,,2,SMP198,cb_intrinsic,male_specific
SMP203,0,,2,SMP203,cb_intrinsic,male_specific
SMP204,0,,2,SMP204,cb_intrinsic,male_specific
SMP213,0,,2,SMP214,cb_intrinsic,male_specific
SMP235,0,,2,SMP235,cb_intrinsic,male_specific
SMP251,0,,2,SMP251,cb_intrinsic,male_specific
SMP257,0,,2,SMP257,cb_intrinsic,male_specific
"SMP258,SMP259,SMP260,SMP263,SMP264,SMP265",0,,2,SMP_unclear,cb_intrinsic,male_specific
SMP269,0,,2,SMP269,cb_intrinsic,male_specific
SMP278b,0,,2,SMP278,cb_intrinsic,male_specific
SMP285,0,,2,SMP285,cb_intrinsic,male_specific
SMP291,0,,2,SMP291,cb_intrinsic,male_specific
SMP311,0,,2,SMP311,cb_intrinsic,male_specific
SMP314b,0,,2,SMP314,cb_intrinsic,male_specific
SMP317a,0,,2,SMP317,cb_intrinsic,male_specific
SMP317c,0,,2,SMP317,cb_intrinsic,male_specific
SMP321_b,0,,2,SMP321_b,cb_intrinsic,male_specific
SMP326b,0,,2,SMP326,cb_intrinsic,male_specific
SMP341,0,,2,SMP341,cb_intrinsic,male_specific
SMP353,0,,2,SMP353,cb_intrinsic,male_specific
SMP356,0,,2,SMP356,cb_intrinsic,male_specific
SMP373,0,,2,SMP373,cb_intrinsic,male_specific
SMP379,0,,2,SMP379,cb_intrinsic,male_specific
SMP383,0,,2,SMP383,cb_intrinsic,male_specific
SMP386,0,,2,SMP386,cb_intrinsic,male_specific
SMP388,0,,2,SMP388,cb_intrinsic,male_specific
SMP389b,0,,2,SMP389_b,cb_intrinsic,male_specific
SMP389c,0,,2,SMP389_c,cb_intrinsic,male_specific
SMP405a,0,,2,SMP405,cb_intrinsic,male_specific
SMP405b,0,,2,SMP405,cb_intrinsic,male_specific
SMP406b,0,,2,SMP406_b,cb_intrinsic,male_specific
SMP410a,0,,2,SMP410,cb_intrinsic,male_specific
SMP425,0,,2,SMP425,cb_intrinsic,male_specific
SMP441,0,,2,SMP441,cb_intrinsic,male_specific
SMP445,0,,2,SMP445,cb_intrinsic,male_specific
SMP451a,0,,2,SMP451,cb_intrinsic,male_specific
SMP455,0,,2,SMP455,cb_intrinsic,male_specific
SMP457,0,,2,SMP457,cb_intrinsic,male_specific
SMP469b,0,,2,SMP469,cb_intrinsic,male_specific
SMP470,0,,2,SMP470,cb_intrinsic,male_specific
SMP492,0,,2,SMP492,cb_intrinsic,male_specific
SMP495b,0,,2,SMP495_b,cb_intrinsic,male_specific
SMP503,0,,2,SMP503,cb_intrinsic,male_specific
SMP505,0,,2,SMP505,cb_intrinsic,male_specific
SMP506,0,,2,SMP506,cb_intrinsic,male_specific
SMP507,0,,2,SMP507,cb_intrinsic,male_specific
SMP509a,0,,2,SMP509,cb_intrinsic,male_specific
SMP510,0,,2,SMP510,cb_intrinsic,male_specific
SMP511,0,,2,SMP511,cb_intrinsic,male_specific
SMP513,0,,2,SMP513,cb_intrinsic,male_specific
"SMP514,SMP515",0,,2,SMP514,cb_intrinsic,male_specific
SMP516a,0,,2,SMP516,cb_intrinsic,male_specific
SMP516b,0,,2,SMP516,cb_intrinsic,male_specific
SMP520b,0,,2,SMP520,cb_intrinsic,male_specific
SMP528,0,,2,SMP528,cb_intrinsic,male_specific
SMP531,0,,2,SMP531,cb_intrinsic,male_specific
SMP541,0,,2,SMP541,cb_intrinsic,male_specific
SMP542,0,,2,SMP542,cb_intrinsic,male_specific
SMP549,0,,2,SMP549,cb_intrinsic,male_specific
SMP550,0,,2,SMP550,cb_intrinsic,male_specific
SMP552,0,,2,SMP552,cb_intrinsic,male_specific
SMP553,0,,2,SMP553,cb_intrinsic,male_specific
SMP554,0,,2,SMP554,cb_intrinsic,male_specific
SMP561,0,,2,SMP561,cb_intrinsic,male_specific
SMP593,0,,2,SMP593,cb_intrinsic,male_specific
SMP595,0,,2,SMP595,cb_intrinsic,male_specific
SMP597,0,,2,SMP597,cb_intrinsic,male_specific
SMP598,0,,2,SMP598,cb_intrinsic,male_specific
SMP603,0,,2,SMP603,cb_intrinsic,male_specific
SMP604,0,,2,SMP604,cb_intrinsic,male_specific
SMPp&v1A_H01,0,,2,PS111,cb_intrinsic,male_specific
SMPp&v1A_P03,0,,2,LHPD5f1,cb_intrinsic,male_specific
SMPp&v1A_S03,0,,2,SMP336,cb_intrinsic,male_specific
SMPp&v1B_M01,0,,2,IB109,cb_intrinsic,male_specific
SMPp&v1B_M02,0,,2,SMPp&v1B_M02,cb_intrinsic,male_specific
Sm39,0,,2,Cm35,ol_intrinsic,male_specific
Sm42,0,,2,Cm34,ol_intrinsic,male_specific
TuTuAa,0,,2,TuTuA_2,cb_intrinsic,male_specific
TuTuAb,0,,2,TuTuA_1,cb_intrinsic,male_specific
TuTuB_b,0,,2,TuTuB_b,cb_intrinsic,male_specific
VA1d_vPN,0,,2,VA1d_vPN,cb_intrinsic,male_specific
VA7l_adPN,0,,2,VA7l_adPN,cb_intrinsic,male_specific
VC1_lPN,0,,2,VC1_lPN,cb_intrinsic,male_specific
VES005,0,,2,VES005,cb_intrinsic,male_specific
VES010,0,,2,VES010,cb_intrinsic,male_specific
VES011,0,,2,VES011,cb_intrinsic,male_specific
VES013,0,,2,VES013,cb_intrinsic,male_specific
VES016,0,,2,VES016,cb_intrinsic,male_specific
VES017,0,,2,VES017,cb_intrinsic,male_specific
VES024b,0,,2,VES024_b,cb_intrinsic,male_specific
VES041,0,,2,VES041,cb_intrinsic,male_specific
VES045,0,,2,VES045,cb_intrinsic,male_specific
VES047,0,,2,VES047,cb_intrinsic,male_specific
VES054,0,,2,VES054,cb_intrinsic,male_specific
VES063a,0,,2,VES063,cb_intrinsic,male_specific
VES063b,0,,2,VES063,cb_intrinsic,male_specific
VES072,0,,2,VES072,cb_intrinsic,male_specific
VES074,0,,2,VES074,cb_intrinsic,male_specific
VES076,0,,2,VES076,cb_intrinsic,male_specific
VES078,0,,2,VES078,cb_intrinsic,male_specific
VESa2_P01,0,,2,SLP243,cb_intrinsic,male_specific
VM4_adPN,0,,2,VM4_adPN,cb_intrinsic,male_specific
VP1d+VP4_l2PN2,0,,2,VP1d+VP4_l2PN2,cb_intrinsic,male_specific
VP1d_il2PN,0,,2,VP1d_il2PN,cb_intrinsic,male_specific
VP1l+VP3_ilPN,0,,2,VP1l+VP3_ilPN,cb_intrinsic,male_specific
VP1m+VP2_lvPN1,0,,2,VP1m+VP2_lvPN1,cb_intrinsic,male_specific
VP2+VC5_l2PN,0,,2,VP2+VC5_l2PN,cb_intrinsic,male_specific
VP3+VP1l_ivPN,0,,2,VP3+VP1l_ivPN,cb_intrinsic,male_specific
VP4+VL1_l2PN,0,,2,VP4+VL1_l2PN,cb_intrinsic,male_specific
VP4+_vPN,0,,2,VP4+_vPN,cb_intrinsic,male_specific
VP5+VP3_l2PN,0,,2,VP5+VP3_l2PN,cb_intrinsic,male_specific
VP5+Z_adPN,0,,2,VP5+Z_adPN,cb_intrinsic,male_specific
V_l2PN,0,,2,V_l2PN,cb_intrinsic,male_specific
WED004a,0,,2,WED004,cb_intrinsic,male_specific
WED026a,0,,2,WED026,cb_intrinsic,male_specific
WED044,0,,2,WED044,cb_intrinsic,male_specific
WED046,0,,2,WED046,cb_intrinsic,male_specific
WED051,0,,2,WED051,cb_intrinsic,male_specific
WED070,0,,2,WED070,cb_intrinsic,male_specific
WED075,0,,2,WED075,cb_intrinsic,male_specific
WED076,0,,2,WED076,cb_intrinsic,male_specific
WED080,0,,2,WED080,cb_intrinsic,male_specific
WED089,0,,2,WED089,cb_intrinsic,male_specific
WED091,0,,2,WED091,cb_intrinsic,male_specific
WED094,0,,2,WED094,cb_intrinsic,male_specific
WED108,0,,2,WED108,cb_intrinsic,male_specific
WED145c,0,,2,WED145,cb_intrinsic,male_specific
WEDPN2B_a,0,,2,WEDPN2B_a,cb_intrinsic,male_specific
WEDPN2B_b,0,,2,WEDPN2B_b,cb_intrinsic,male_specific
WEDPN3a,0,,2,WEDPN3,cb_intrinsic,male_specific
WEDPN3b,0,,2,WEDPN3,cb_intrinsic,male_specific
WEDPN3c,0,,2,WEDPN3,cb_intrinsic,male_specific
WEDPN4,0,,2,WEDPN4,cb_intrinsic,male_specific
WEDPN5,0,,2,WEDPN5,cb_intrinsic,male_specific
aMe22,0,,2,aMe22,cb_intrinsic,male_specific
aPhM2b,0,,2,aPhM2b,cb_sensory,male_specific
aPhM4,0,,2,aPhM4,cb_sensory,male_specific
aSP22,0,,2,aSP22,descending_neuron,male_specific
cL05,0,,2,LT46,visual_centrifugal,male_specific
cL06,0,,2,LoVC9,visual_centrifugal,male_specific
cL12,0,,2,LoVC3,visual_centrifugal,male_specific
cL13,0,,2,LoVC5,visual_centrifugal,male_specific
cL15,0,,2,LoVC6,visual_centrifugal,male_specific
cL22a,0,,2,LoVC4,visual_centrifugal,male_specific
cL22b,0,,2,LoVC11,visual_centrifugal,male_specific
cL22c,0,,2,LoVC12,visual_centrifugal,male_specific
cM01a,0,,2,MeVC8,visual_centrifugal,male_specific
cM01b,0,,2,MeVC7a,visual_centrifugal,male_specific
cM02a,0,,2,MeVC5,visual_centrifugal,male_specific
cM15,0,,2,MeVC11,visual_centrifugal,male_specific
cM17,0,,2,MeVC4a,visual_centrifugal,male_specific
cM18,0,,2,MeVC3,visual_centrifugal,male_specific
lLN10,0,,2,lLN10,cb_intrinsic,male_specific
mAL4C,0,,2,mAL4C,cb_intrinsic,male_specific
mAL4D,0,,2,mAL4D,cb_intrinsic,male_specific
mAL4H,0,,2,mAL4H,cb_intrinsic,male_specific
mAL5A1,0,,2,mAL5A1,cb_intrinsic,male_specific
mALB1,0,,2,mALB1,cb_intrinsic,male_specific
mALB2,0,,2,mALB2,cb_intrinsic,male_specific
mALD1,0,,2,mALD1,cb_intrinsic,male_specific
mALD2,0,,2,LoVC20,cb_intrinsic,male_specific
mALD4,0,,2,mALD4,cb_intrinsic,male_specific
pC1b,0,,2,pC1x_b,cb_intrinsic,male_specific
v2LN31,0,,2,v2LN31,cb_intrinsic,male_specific
v2LN3A1_a,0,,2,v2LN3A1_a,cb_intrinsic,male_specific
v2LN41a,0,,2,v2LN41,cb_intrinsic,male_specific
v2LN42a,0,,2,v2LN42,cb_intrinsic,male_specific
v2LNX01,0,,2,v2LNX01,cb_intrinsic,male_specific
vLN24,0,,2,vLN24,cb_intrinsic,male_specific
vLN26,0,,2,vLN26,cb_intrinsic,male_specific
vLN27,0,,2,vLN27,cb_intrinsic,male_specific
AN_GNG_109,0,,1,AN05B007,ascending_neuron,male_specific
AN_GNG_122,0,,1,AN08B097,ascending_neuron,male_specific
AN_GNG_133,0,,1,AN00A002,ascending_neuron,male_specific
AN_GNG_153,0,,1,AN05B029,ascending_neuron,male_specific
AN_GNG_185,0,,1,AN08B089,ascending_neuron,male_specific
AN_GNG_74,0,,1,AN05B027,ascending_neuron,male_specific
AN_GNG_FLA_1,0,,1,AN05B026,ascending_neuron,male_specific
AN_GNG_SAD_18,0,,1,AN05B006,ascending_neuron,male_specific
AOTU054,0,,1,AOTU054,cb_intrinsic,male_specific
AVLP014,0,,1,AVLP014,cb_intrinsic,male_specific
AVLP030,0,,1,AVLP030,cb_intrinsic,male_specific
