cell_type_name,female_n,female_broad_class,male_n,male_cell_type,male_superclass,category
SNta11,13,sensory neuron,0,,,female_specific
CB1791,12,,0,,,female_specific
DNnt011,12,CNS neuron,0,,,female_specific
ER3a_a,12,,0,,,female_specific
ER3p_a,12,,0,,,female_specific
IN01B027,12,,0,,,female_specific
IN03A062,12,,0,,,female_specific
IN04B074,12,,0,,,female_specific
IN04B078,12,,0,,,female_specific
IN08B036,12,,0,,,female_specific
IN11A032,12,,0,,,female_specific
IN11B020,12,,0,,,female_specific
IN12B072,12,,0,,,female_specific
IN13A050,12,CNS neuron,0,,,female_specific
IN13B090,12,,0,,,female_specific
IN20A.22A024,12,,0,,,female_specific
INXXX240,12,,0,,,female_specific
INXXX354,12,,0,,,female_specific
Pm2,12,CNS neuron,0,,,female_specific
SApp02,12,sensory neuron,0,,,female_specific
SNch04,12,sensory neuron,0,,,female_specific
SNta33,12,sensory neuron,0,,,female_specific
Sternal anterior rotator MN,12,efferent neuron,0,,,female_specific
Sternal posterior rotator MN,12,efferent neuron,0,,,female_specific
ltm MN,12,efferent neuron,0,,,female_specific
w-cHIN,12,,0,,,female_specific
Acc. tr flexor MN,11,efferent neuron,0,,,female_specific
BM_FrOr,11,sensory neuron,0,,,female_specific
CB2865,11,,0,,,female_specific
CB3831,11,,0,,,female_specific
CRE043,11,,0,,,female_specific
ER2_a,11,,0,,,female_specific
FC1F,11,,0,,,female_specific
IN01B086,11,sensory neuron,0,,,female_specific
IN03A046,11,,0,,,female_specific
IN03A068,11,,0,,,female_specific
IN03B061,11,,0,,,female_specific
IN03B070,11,,0,,,female_specific
IN03B077,11,,0,,,female_specific
IN04B068,11,,0,,,female_specific
IN05B090,11,,0,,,female_specific
IN06B066,11,,0,,,female_specific
IN08A036,11,CNS neuron,0,,,female_specific
IN09A090,11,,0,,,female_specific
IN09B038,11,,0,,,female_specific
IN11B017,11,,0,,,female_specific
IN12A059,11,,0,,,female_specific
IN19A016,11,CNS neuron,0,,,female_specific
IN19A064,11,,0,,,female_specific
IN19A098,11,CNS neuron,0,,,female_specific
IN19A122,11,,0,,,female_specific
IN19B068,11,,0,,,female_specific
IN20A.22A021,11,,0,,,female_specific
IN20A.22A038,11,,0,,,female_specific
IN20A.22A043,11,,0,,,female_specific
IN20A.22A048,11,,0,,,female_specific
IN20A.22A067,11,,0,,,female_specific
INXXX228,11,,0,,,female_specific
INXXX290,11,,0,,,female_specific
INXXX297,11,,0,,,female_specific
INXXX336,11,,0,,,female_specific
INXXX363,11,,0,,,female_specific
INXXX395,11,,0,,,female_specific
LAL034,11,,0,,,female_specific
Mt4,11,CNS neuron,0,,,female_specific
OCI,11,,0,,,female_specific
PI,11,efferent neuron,0,,,female_specific
SA_VTV_3,11,sensory neuron,0,,,female_specific
SNpp18,11,sensory neuron,0,,,female_specific
SNxx02,11,sensory neuron,0,,,female_specific
SNxx10,11,sensory neuron,0,,,female_specific
Sternotrochanter MN,11,efferent neuron,0,,,female_specific
pharyngeal_nerve_sensory_group2,11,sensory neuron,0,,,female_specific
uLPTCrn,11,CNS neuron,0,,,female_specific
AN_GNG_166,10,,0,,,female_specific
CB2740,10,,0,,,female_specific
CB2990,10,,0,,,female_specific
CB3803,10,CNS neuron,0,,,female_specific
DM5_ventral__0,10,,0,,,female_specific
DNut046,10,CNS neuron,0,,,female_specific
ENXXX226,10,efferent neuron,0,,,female_specific
ER1_a,10,,0,,,female_specific
FS1B,10,,0,,,female_specific
GFC3,10,,0,,,female_specific
IN01A045,10,,0,,,female_specific
IN03B071,10,,0,,,female_specific
IN03B091,10,,0,,,female_specific
