cell_type_name,female_n,female_broad_class,male_n,male_cell_type,male_superclass
IN02A030,8,,0,,
IN02A054,8,,0,,
IN03A067,8,,0,,
IN03B063,8,,0,,
IN03B092,8,,0,,
IN05B072,8,,0,,
IN06A019,8,,0,,
IN06A076,8,,0,,
IN06A079,8,,0,,
IN06A110,8,,0,,
IN06A133,8,,0,,
IN06A136,8,,0,,
IN06B073,8,,0,,
IN08A015,8,,0,,
IN09A096,8,CNS neuron,0,,
IN09B043,8,CNS neuron,0,,
IN09B046,8,,0,,
IN11A003,8,,0,,
IN11A014,8,,0,,
IN11B018,8,,0,,
IN11B019,8,,0,,
IN12A043,8,,0,,
IN12B048,8,,0,,
IN13A035,8,,0,,
IN13A059,8,,0,,
IN13B054,8,sensory neuron,0,,
IN14A020,8,,0,,
IN16B032,8,,0,,
IN16B088,8,,0,,
IN17A111,8,,0,,
IN19A005,8,,0,,
IN19A011,8,CNS neuron,0,,
IN19A048,8,,0,,
IN19A069,8,,0,,
IN19B089,8,,0,,
IN19B091,8,,0,,
IN20A.22A074,8,,0,,
IN21A015,8,CNS neuron,0,,
IN21A017,8,sensory neuron,0,,
IN21A078,8,,0,,
INXXX158,8,,0,,
INXXX211,8,,0,,
INXXX231,8,,0,,
INXXX353,8,,0,,
INXXX396,8,,0,,
INXXX405,8,,0,,
INXXX426,8,,0,,
INXXX443,8,,0,,
INXXX446,8,,0,,
INXXX468,8,,0,,
LLPC2a,8,,0,,
LLPC2b,8,,0,,
PFNm_a,8,,0,,
PS087,8,,0,,
PS209,8,,0,,
SAD007,8,,0,,
SAxx02,8,sensory neuron,0,,
SAxxxx,8,sensory neuron,0,,
SIP020,8,,0,,
SNch14,8,sensory neuron,0,,
SNpp20,8,sensory neuron,0,,
SNpp42,8,sensory neuron,0,,
Tergotr. MN,8,efferent neuron,0,,
Tr extensor MN,8,efferent neuron,0,,
WED015,8,,0,,
WED026,8,,0,,
ANXXX202,7,sensory neuron,0,,
AN_GNG_147,7,CNS neuron,0,,
AN_GNG_90,7,sensory neuron,0,,
AVLP026,7,,0,,
AVLP028,7,,0,,
AVLP194,7,,0,,
BM_dOcci,7,sensory neuron,0,,
CB1298,7,,0,,
CB1466,7,,0,,
CB1861,7,,0,,
CB2188,7,,0,,
CB2344,7,,0,,
CB2376,7,,0,,
CB2519,7,,0,,
CB2580,7,,0,,
